,Neighborhood,Lat,Lon,sale_price_sqr_foot,housing_units,gross_rent
0,Alamo Square,37.791012,-122.4021,366.02,378401.0,2817.0
1,Anza Vista,37.779598,-122.443451,373.38,379050.0,3032.0
2,Bayview,37.73467,-122.40106,204.59,376454.0,2318.0
3,Bayview Heights,37.72874,-122.41098,590.79,382295.0,3739.0
5,Buena Vista Park,37.76816,-122.43933,452.68,378076.5,2699.0
6,Central Richmond,37.77789,-122.44517,394.42,378401.0,2817.0
7,Central Sunset,37.74961,-122.48999,423.69,378401.0,2817.0
8,Clarendon Heights,37.75331,-122.44703,487.24,376454.0,2250.0
9,Corona Heights,37.78553,-122.456,587.54,377232.8,2472.0
10,Cow Hollow,37.79298,-122.43579,665.96,378401.0,2817.0
11,Croker Amazon,37.7228,-122.43869,303.0,378076.5,2699.0
12,Diamond Heights,37.72863,-122.44305,434.99,375480.5,2016.0
14,Duboce Triangle,37.76964,-122.42611,502.6,378401.0,2780.0
15,Eureka Valley/Dolores Heights,37.75554,-122.43779,642.25,378401.0,2817.0
16,Excelsior,37.72874,-122.41098,388.77,379050.0,3032.0
17,Financial District North,37.79101,-122.4021,391.36,378401.0,2817.0
18,Financial District South,37.79101,-122.4021,455.84,377232.8,2472.0
19,Forest Knolls,37.75706,-122.45509,321.84,374507.0,1782.0
20,Glen Park,37.72863,-122.44305,623.83,378725.5,2900.0
21,Golden Gate Heights,37.757912,-122.46402,639.39,377622.2,2601.0
22,Haight Ashbury,37.76525,-122.43596,449.54,378401.0,2817.0
23,Hayes Valley,37.76525,-122.43596,355.93,378401.0,2817.0
24,Hunters Point,37.72551,-122.37178,170.62,377427.5,2489.0
26,Ingleside Heights,37.72116,-122.48707,384.8,379374.5,2960.0
27,Inner Mission,37.75416,-122.41947,397.67,378401.0,2817.0
28,Inner Parkside,37.74961,-122.48999,519.39,379861.25,3224.0
29,Inner Richmond,37.769112,-122.483566,378.59,378401.0,2817.0
30,Inner Sunset,37.74961,-122.48997,413.67,378401.0,2817.0
31,Jordan Park/Laurel Heights,37.78553,-122.456,529.38,378401.0,2817.0
32,Lake --The Presidio,37.80152,-122.45457,409.95,377427.5,2555.0
33,Lone Mountain,37.7789,-122.45496,478.23,377427.5,2555.0
34,Lower Pacific Heights,37.79298,-122.43579,539.24,378401.0,2817.0
35,Marina,37.79972,-122.46689,583.75,378401.0,2817.0
36,Merced Heights,37.71993,-122.46595,788.84,380348.0,3414.0
37,Midtown Terrace,37.75331,-122.44703,550.51,377427.5,2648.0
38,Miraloma Park,37.73415,-122.457,779.81,375967.25,2155.0
39,Mission Bay,37.78323,-122.40065,566.19,377752.0,2664.0
40,Mission Dolores,37.75184,-122.42522,418.92,377427.5,2555.0
41,Mission Terrace,37.72863,-122.44305,523.47,379569.2,3173.0
42,Nob Hill,37.79298,-122.43579,458.2,378401.0,2817.0
43,Noe Valley,37.75331,-122.44703,542.44,378401.0,2817.0
44,North Beach,37.80055,-122.40433,411.65,379179.8,2991.0
45,North Waterfront,37.80055,-122.40433,498.27,378401.0,2818.0
46,Oceanview,37.71993,-122.46595,330.1,377103.0,2434.0
47,Outer Mission,37.7228,-122.43869,242.37,379374.5,2996.0
48,Outer Parkside,37.7517,-122.446,485.03,378401.0,2817.0
50,Outer Sunset,37.74961,-122.48999,394.22,378401.0,2817.0
51,Pacific Heights,37.79298,-122.43579,689.56,378401.0,2817.0
52,Park North,37.72838,-122.47851,373.73,378401.0,2817.0
53,Parkside,37.74961,-122.48999,336.17,377427.5,2555.0
54,Parnassus/Ashbury Heights,37.76355,-122.45765,632.74,378401.0,2817.0
55,Portola,37.73467,-122.40106,327.11,376454.0,2318.0
56,Potrero Hill,37.73196,-122.38324,662.01,378401.0,2817.0
57,Presidio Heights,37.78553,-122.456,675.35,378401.0,2817.0
58,Russian Hill,37.79298,-122.43579,608.98,378401.0,2817.0
59,Silver Terrace,37.73467,-122.40106,170.29,380348.0,3528.0
60,South Beach,37.78323,-122.40065,650.12,375805.0,2099.0
61,South of Market,37.79101,-122.4021,570.27,378401.0,2817.0
62,Sunnyside,37.73415,-122.457,528.32,378725.5,2900.0
63,Telegraph Hill,37.80055,-122.40433,676.51,378401.0,2817.0
64,Twin Peaks,37.753311,-122.447029,469.4,378401.0,2817.0
65,Union Square District,37.79101,-122.4021,903.99,377427.5,2555.0
66,Van Ness/ Civic Center,37.77951,-122.42022,404.15,378401.0,2817.0
67,Visitacion Valley,37.72874,-122.41098,301.47,381321.5,3657.0
68,West Portal,37.74026,-122.46388,498.49,376940.75,2516.0
69,Western Addition,37.79298,-122.43579,307.56,377427.5,2555.0
70,Westwood Highlands,37.7347,-122.456854,533.7,376454.0,2250.0
71,Westwood Park,37.73415,-122.457,687.09,382295.0,3959.0
72,Yerba Buena,37.79298,-122.39636,576.71,377427.5,2555.0
